index	ID	SM	LB	PU	PL
162	MMA08_8_HHKTMCCX2_7	MMA08	8	HHKTMCCX2_7	Illumina
163	MMA10_8_HHKTMCCX2_7	MMA10	8	HHKTMCCX2_7	Illumina
164	MMA25_8_HHKTMCCX2_7	MMA25	8	HHKTMCCX2_7	Illumina
165	MCO09_9_HHKTMCCX2_7	MCO09	9	HHKTMCCX2_7	Illumina
166	MCO11_9_HHKTMCCX2_7	MCO11	9	HHKTMCCX2_7	Illumina
167	MGO03_9_HHKTMCCX2_7	MGO03	9	HHKTMCCX2_7	Illumina
168	MGO05_9_HHKTMCCX2_7	MGO05	9	HHKTMCCX2_7	Illumina
169	MMA12_9_HHKTMCCX2_7	MMA12	9	HHKTMCCX2_7	Illumina
170	MMA26_9_HHKTMCCX2_7	MMA26	9	HHKTMCCX2_7	Illumina
171	TZE05_1_HHKJNCCX2_2	TZE05	1	HHKJNCCX2_2	Illumina
172	TZE18_1_HHKJNCCX2_2	TZE18	1	HHKJNCCX2_2	Illumina
173	TZE01_2_HHKJNCCX2_2	TZE01	2	HHKJNCCX2_2	Illumina
174	TZE02_10_HHKJNCCX2_2	TZE02	10	HHKJNCCX2_2	Illumina
175	TZE03_10_HHKJNCCX2_2	TZE03	10	HHKJNCCX2_2	Illumina
176	TZE04_3_HHKJNCCX2_2	TZE04	3	HHKJNCCX2_2	Illumina
177	TZE06_3_HHKJNCCX2_2	TZE06	3	HHKJNCCX2_2	Illumina
178	TZE07_3_HHKJNCCX2_2	TZE07	3	HHKJNCCX2_2	Illumina
179	TZE08_4_HHKJNCCX2_2	TZE08	4	HHKJNCCX2_2	Illumina
180	TZE09_4_HHKJNCCX2_2	TZE09	4	HHKJNCCX2_2	Illumina
181	TZE10_4_HHKJNCCX2_2	TZE10	4	HHKJNCCX2_2	Illumina
182	TZE11_4_HHKJNCCX2_2	TZE11	4	HHKJNCCX2_2	Illumina
183	TZE12_4_HHKJNCCX2_2	TZE12	4	HHKJNCCX2_2	Illumina
184	TZE13_4_HHKJNCCX2_2	TZE13	4	HHKJNCCX2_2	Illumina
185	TZE14_5_HHKJNCCX2_2	TZE14	5	HHKJNCCX2_2	Illumina
186	TZE15_5_HHKJNCCX2_2	TZE15	5	HHKJNCCX2_2	Illumina
187	TZE25_6_HHKTMCCX2_7	TZE25	6	HHKTMCCX2_7	Illumina
188	TZE27_6_HHKTMCCX2_7	TZE27	6	HHKTMCCX2_7	Illumina
189	TZE28_6_HHKTMCCX2_7	TZE28	6	HHKTMCCX2_7	Illumina
190	TZE29_6_HHKTMCCX2_7	TZE29	6	HHKTMCCX2_7	Illumina
191	TZE30_6_HHKTMCCX2_7	TZE30	6	HHKTMCCX2_7	Illumina
192	TZE31_6_HHKTMCCX2_7	TZE31	6	HHKTMCCX2_7	Illumina
193	TZE20_8_HHKTMCCX2_7	TZE20	8	HHKTMCCX2_7	Illumina
194	TZE23_8_HHKTMCCX2_7	TZE23	8	HHKTMCCX2_7	Illumina
195	TZE24_8_HHKTMCCX2_7	TZE24	8	HHKTMCCX2_7	Illumina
196	TZE19_9_HHKTMCCX2_7	TZE19	9	HHKTMCCX2_7	Illumina
197	TZE21_9_HHKTMCCX2_7	TZE21	9	HHKTMCCX2_7	Illumina
198	TZE22_9_HHKTMCCX2_7	TZE22	9	HHKTMCCX2_7	Illumina
199	IST05_10_HHKTMCCX2_7	IST05	10	HHKTMCCX2_7	Illumina
200	IST07_10_HHKTMCCX2_7	IST07	10	HHKTMCCX2_7	Illumina
201	IST10_10_HHKTMCCX2_7	IST10	10	HHKTMCCX2_7	Illumina
